Program:,Program link:,County:,Savings (electricity consumption reduction in kwh):,MEA contribution:,Total project cost:,Location 1
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.79,959.95,2557.05,"Derwood, MD 208552225
(39.13114999957298, -77.14598999983849)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Talbot,2.636,1382.77,3765.05,"Claiborne, MD 216242005
(38.78247999955249, -76.22293000031908)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.721,960.66,2459.06,"Potomac, MD 208541787
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Worcester,1.84,1019.80,2628.00,"Berlin, MD 218112694
(38.34031000000664, -75.18628999978353)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,2.615,1188.15,3736.00,"Perry Hall, MD 211288817
(39.402354077578764, -76.44293000041904)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,5.091,2610.55,7273.00,"College Park, MD 207404017
(38.99670000020501, -76.92859999959018)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,2.884,1407.00,4120.00,"University Park, MD 207822142
(38.9645499996829, -76.96469999970509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,0.875,397.33,1249.50,"Takoma Park, MD 209127322
(38.98305999981932, -77.00145000011725)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.562,1380.89,3659.70,"North Bethesda, MD 208951016
(39.02898999998865, -77.07798999993838)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Carroll,2.636,1295.59,3766.00,"Hampstead, MD 210741653
(39.61381999979335, -76.85084999972753)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,1.46,745.75,2085.00,"Nottingham, MD 212362616
(39.38978000044682, -76.48661000025118)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,2.928,1414.00,4183.00,"Columbia, MD 210441513
(39.21588000026196, -76.87450999993638)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,2.198,1199.00,3140.00,"Pasadena, MD 211463317
(39.080199999930244, -76.5567400003506)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,0.762,480.83,1088.09,"Montgomery Village, MD 208864370
(39.17500000005015, -77.1960800002916)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,3.339,1647.00,4770.00,"Gambrills, MD 210541936
(38.986801603111644, -76.6637349998702)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.014,1467.10,4306.00,"Bethesda, MD 208176742
(39.002329999929714, -77.1384199996831)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Frederick,0.882,492.00,1260.00,"Frederick, MD 217037129
(39.38888000031193, -77.44599999970006)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.568,1848.95,5097.00,"Potomac, MD 208544052
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,1.927,976.00,2753.00,"Severn, MD 211441666
(39.12680000041985, -76.69114000011075)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.345,1272.50,3350.00,"Gaithersburg, MD 208822345
(39.228170000445346, -77.16269999970507)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.859,1029.25,2655.00,"Chevy Chase, MD 208155115
(38.97726999991073, -77.0824299996446)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,6.243,1902.95,8918.00,"Potomac, MD 208541903
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.911,1538.76,4158.20,"Potomac, MD 208542675
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,6.16,3100.00,8800.00,"Bethesda, MD 208176935
(39.002329999929714, -77.1384199996831)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,4.246,2065.25,6065.00,"Bowie, MD 207204626
(38.9557181985362, -76.79009999961517)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,4.819,2336.15,6884.00,"Annapolis, MD 214017113
(38.983799999770326, -76.52959999974007)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Worcester,11.002000000000001,3100.00,15717.82,"Ocean City, MD 218424806
(38.391550000432346, -75.07021000039106)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,2.888,1370.85,4126.00,"Baltimore, MD 212311914
(39.287419999733345, -76.59137000012527)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,3.603,1901.00,5147.00,"University Park, MD 207822153
(38.9645499996829, -76.96469999970509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,2.65,1425.00,3785.00,"University Park, MD 207821140
(38.9645499996829, -76.96469999970509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,2.661,1307.85,3801.02,"Millersville, MD 211082130
(39.10140999957201, -76.62140000000983)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.658,928.95,2368.44,"Derwood, MD 208551809
(39.13114999957298, -77.14598999983849)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.394,696.85,1991.00,"Clarksburg, MD 208719351
(39.25063999973639, -77.27502999973456)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Worcester,2.262,1195.84,3231.00,"Berlin, MD 218111907
(38.34031000000664, -75.18628999978353)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Charles,7.07,1363.50,10100.00,"La Plata, MD 206463199
(38.52486999985075, -76.98415999958416)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,5.744,2936.78,8205.07,"Hyattsville, MD 207812012
(38.94900000024995, -76.93704999985744)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.732,2361.00,6760.00,"Germantown, MD 208746113
(39.166079999692386, -77.2739700003151)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.5,1715.00,5000.00,"Rockville, MD 208511032
(39.07642000008309, -77.1214399999559)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,1.092,378.00,1560.50,"Rockville, MD 208502015
(39.09460000028997, -77.17314999957267)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,4.663,1957.45,6661.00,"Baltimore, MD 212112232
(39.33225999999917, -76.63515000007231)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,2.257,1195.84,3224.00,"Timonium, MD 210934334
(39.442239999576486, -76.63726999981048)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Frederick,0.798,450.00,1140.00,"Myersville, MD 217738658
(39.531659999809335, -77.55428000002183)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,4.48,1600.00,6400.00,"Crofton, MD 211142013
(39.01105999961948, -76.68445999962915)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Queen Anne's,3.642,1885.87,5202.47,"Chester, MD 216192408
(38.96507999984226, -76.28200999986143)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,6.39,2243.75,9128.00,"Chevy Chase, MD 208154753
(38.97726999991073, -77.0824299996446)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.638,1349.15,3769.00,"Silver Spring, MD 209104917
(38.99797000031543, -77.03293000031908)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Allegany,1.36,745.00,1943.00,"Middletown, MD 217697874
(39.44272000012808, -77.54914999997237)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,3.576,1748.15,5109.00,"Ellicott City, MD 210421339
(39.27335999976435, -76.8619699999154)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.609,2404.44,6584.10,"Potomac, MD 208544080
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,1.82,835.00,2600.00,"University Park, MD 207822120
(38.9645499996829, -76.96469999970509)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.28,1240.11,3257.50,"Olney, MD 208322949
(39.15293000031943, -77.07117999975702)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,1.6,436.70,2285.00,"Gibson Island, MD 210560229
(39.073770000185505, -76.42945000021717)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,3.955,1977.50,5650.00,"Kensington, MD 208954234
(39.02898999998865, -77.07798999993838)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,4.547,1185.27,6495.10,"Chevy Chase, MD 208155531
(38.97726999991073, -77.0824299996446)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Charles,4.003,1961.30,5718.00,"Waldorf, MD 206023476
(38.600780000296936, -76.9011099999264)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.065,1097.50,2950.00,"Bethesda, MD 208173223
(39.002329999929714, -77.1384199996831)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.915,1522.40,4164.00,"Potomac, MD 208544052
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,6.276,2991.25,8965.00,"Annapolis, MD 214024757
(38.98662980831915, -76.48840500029036)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,5.348,2634.00,7640.00,"Hyattsville, MD 207834321
(38.98919000011858, -76.97719000011824)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,2.348,1133.90,3354.00,"Glenwood, MD 217389617
(39.27975000036241, -77.021290000433)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.497,1145.75,3567.85,"Bethesda, MD 208143702
(38.99424999963793, -77.09904999985747)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,5.817,2768.33,8309.50,"Annapolis, MD 214061656
(38.976699999705374, -76.48992999956965)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.456,1293.15,3509.00,"Potomac, MD 208544052
(39.03795000039236, -77.19766000030859)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Wicomico,4.353,1110.81,6218.12,"Salisbury, MD 218019788
(38.35645030633674, -75.64324000012573)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,5.145,2300.00,7350.00,"Baltimore, MD 212081913
(39.376229999714894, -76.72952999970954)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,5.115,2514.28,7306.75,"Bethesda, MD 208144758
(38.99424999963793, -77.09904999985747)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Anne Arundel,5.198,2698.75,7425.00,"Annapolis, MD 214032555
(38.95672000012809, -76.48971000021618)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Queen Anne's,5.096,1519.17,7279.93,"Stevensville, MD 216663315
(38.947400000209996, -76.33155000013227)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,5.103,1915.00,7290.00,"Greenbelt, MD 207701601
(38.99963999998619, -76.88768000023168)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Frederick,5.11,1850.21,7300.60,"Frederick, MD 217024148
(39.44454000042083, -77.44032999992942)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Frederick,2.585,1343.69,3693.40,"Frederick, MD 217011926
(39.425139999711405, -77.39080999968161)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore City,5.21,2462.85,7443.00,"Baltimore, MD 212076546
(39.32404000044585, -76.71700000014971)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Dorchester,5.199,2664.55,7427.30,"Cambridge, MD 216132008
(38.56205999986929, -76.0877499996626)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.59,1395.00,3700.00,"Silver Spring, MD 209061134
(39.08385999963946, -77.06319999958015)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,2.331,1265.45,3329.90,"Sykesville, MD 217848968
(39.39960000004015, -76.96358999977849)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,5.254,2586.75,7505.00,"Glenwood, MD 217389617
(39.27975000036241, -77.021290000433)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.345,1175.15,3349.85,"Rockville, MD 208533607
(39.09251000013654, -77.09383999971607)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Baltimore,5.142,1600.00,7345.00,"Pikesville, MD 212083020
(39.376229999714894, -76.72952999970954)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.114,1122.00,3020.00,"North Potomac, MD 208783762
(39.11773000033941, -77.2342899996836)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,2.065,1010.00,2950.00,"Gaithersburg, MD 208783763
(39.11773000033941, -77.2342899996836)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Montgomery,5.32,1150.25,7600.00,"Wheaton, MD 209021932
(39.040070000130584, -77.04648000015175)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Howard,5.23,2149.15,7471.00,"Ellicott City, MD 210435407
(39.25913000004965, -76.80269999970506)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Prince George's,1.153,593.15,1647.00,"District Heights, MD 207472433
(38.85313999981133, -76.88883999976605)"
Home Performance Rebate Program,http://energy.maryland.gov/homeperformance/index.html,Worcester,2.048,1123.75,2925.00,"Ocean City, MD 218429154
(38.391550000432346, -75.07021000039106)"
